variable,HT,SBP,MAP,DBP,MCVP,BSI,CI,AT,MCT,UO,HG,HCT
HT,1,0.1066892479860057,0.13009280329464695,0.16060765763702994,-0.09266352242321434,0.4055996084807112,0.057685488885630555,0.023811391793999548,-0.03210041481653535,0.1197536122859154,-0.0025729798206732836,0.014354158739298618
SBP,0.1066892479860057,1,0.904508557614987,0.8159691947025731,-0.021757074732783047,0.27232200153828895,0.14246366659687373,-0.13979951868534649,-0.17747869388858536,0.13515619575027807,0.06465443172200316,0.06448793672405072
MAP,0.13009280329464695,0.904508557614987,0.9999999999999999,0.9544690501397238,-0.07252412235615428,0.23432615042391788,0.0472452597897375,-0.11290361701522161,-0.10788530333299523,0.15139887825166967,0.20366575697811157,0.19152667470474216
DBP,0.16060765763702994,0.8159691947025731,0.9544690501397238,1,-0.1286689289353567,0.24819379344024314,-0.06685061251015767,-0.05821324587655255,-0.01277177484424437,0.1202092936961958,0.3251757823864811,0.31136516520728985
MCVP,-0.09266352242321434,-0.021757074732783047,-0.07252412235615428,-0.1286689289353567,1,0.04492427682195358,-0.014146618549484168,0.03486220220337371,0.18911017604346042,-0.2332055098333819,-0.04219398388125895,-0.013049485666010002
BSI,0.4055996084807112,0.27232200153828895,0.23432615042391788,0.24819379344024314,0.04492427682195358,1,0.011824121409792996,0.08806107370721632,0.019580436215004975,-0.055931357565068805,0.15486624022542717,0.1667705292908813
CI,0.057685488885630555,0.14246366659687373,0.0472452597897375,-0.06685061251015767,-0.014146618549484168,0.011824121409792996,1,-0.47249532768821256,-0.6205154505524739,0.13946019300322238,-0.4647335904289876,-0.4547960746389569
AT,0.023811391793999548,-0.13979951868534649,-0.11290361701522161,-0.05821324587655255,0.03486220220337371,0.08806107370721632,-0.47249532768821256,1,0.8390812074199331,-0.15948736349368445,0.34911554482661766,0.3421645684984682
MCT,-0.03210041481653535,-0.17747869388858536,-0.10788530333299523,-0.01277177484424437,0.18911017604346042,0.019580436215004975,-0.6205154505524739,0.8390812074199331,1,-0.1753463382533725,0.47162844914629015,0.4771845877233059
UO,0.1197536122859154,0.13515619575027807,0.15139887825166967,0.1202092936961958,-0.2332055098333819,-0.055931357565068805,0.13946019300322238,-0.15948736349368445,-0.1753463382533725,0.9999999999999999,-0.10328277553635554,-0.13038300098105893
HG,-0.0025729798206732836,0.06465443172200316,0.20366575697811157,0.3251757823864811,-0.04219398388125895,0.15486624022542717,-0.4647335904289876,0.34911554482661766,0.47162844914629015,-0.10328277553635554,1,0.9690370194826285
HCT,0.014354158739298618,0.06448793672405072,0.19152667470474216,0.31136516520728985,-0.013049485666010002,0.1667705292908813,-0.4547960746389569,0.3421645684984682,0.4771845877233059,-0.13038300098105893,0.9690370194826285,1
