ID,RECORD,n_records
340,Initial,1
340,Final,1
412,Initial,1
412,Final,1
426,Initial,1
426,Final,1
444,Initial,1
444,Final,1
515,Initial,1
515,Final,1
517,Initial,1
517,Final,1
518,Initial,1
518,Final,1
522,Initial,1
522,Final,1
526,Initial,1
526,Final,1
527,Initial,1
527,Final,1
528,Initial,1
528,Final,1
529,Initial,1
529,Final,1
530,Initial,1
530,Final,1
535,Initial,1
535,Final,1
537,Initial,1
537,Final,1
539,Initial,1
539,Final,1
540,Initial,1
540,Final,1
541,Initial,1
541,Final,1
543,Initial,1
543,Final,1
545,Initial,1
545,Final,1
546,Initial,1
546,Final,1
549,Initial,1
549,Final,1
554,Initial,1
554,Final,1
555,Initial,1
555,Final,1
560,Initial,1
560,Final,1
562,Initial,1
562,Final,1
563,Initial,1
563,Final,1
568,Initial,1
568,Final,1
573,Initial,1
573,Final,1
575,Initial,1
575,Final,1
583,Initial,1
583,Final,1
584,Initial,1
584,Final,1
585,Initial,1
585,Final,1
588,Initial,1
588,Final,1
592,Initial,1
592,Final,1
593,Initial,1
593,Final,1
594,Initial,1
594,Final,1
596,Initial,1
596,Final,1
598,Initial,1
598,Final,1
602,Initial,1
602,Final,1
613,Initial,1
613,Final,1
617,Initial,1
617,Final,1
620,Initial,1
620,Final,1
625,Initial,1
625,Final,1
629,Initial,1
629,Final,1
630,Initial,1
630,Final,1
631,Initial,1
631,Final,1
634,Initial,1
634,Final,1
638,Initial,1
638,Final,1
639,Initial,1
639,Final,1
642,Initial,1
642,Final,1
646,Initial,1
646,Final,1
648,Initial,1
648,Final,1
649,Initial,1
649,Final,1
650,Initial,1
650,Final,1
651,Initial,1
651,Final,1
653,Initial,1
653,Final,1
655,Initial,1
655,Final,1
657,Initial,1
657,Final,1
658,Initial,1
658,Final,1
659,Initial,1
659,Final,1
660,Initial,1
660,Final,1
662,Initial,1
662,Final,1
664,Initial,1
664,Final,1
665,Initial,1
665,Final,1
667,Initial,1
667,Final,1
672,Initial,1
672,Final,1
676,Initial,1
676,Final,1
679,Initial,1
679,Final,1
684,Initial,1
684,Final,1
685,Initial,1
685,Final,1
686,Initial,1
686,Final,1
687,Initial,1
687,Final,1
689,Initial,1
689,Final,1
691,Initial,1
691,Final,1
692,Initial,1
692,Final,1
693,Initial,1
693,Final,1
695,Initial,1
695,Final,1
696,Initial,1
696,Final,1
697,Initial,1
697,Final,1
698,Initial,1
698,Final,1
700,Initial,1
700,Final,1
702,Initial,1
702,Final,1
704,Initial,1
704,Final,1
705,Initial,1
705,Final,1
706,Initial,1
706,Final,1
707,Initial,1
707,Final,1
710,Initial,1
710,Final,1
712,Initial,1
712,Final,1
713,Initial,1
713,Final,1
715,Initial,1
715,Final,1
716,Initial,1
716,Final,1
718,Initial,1
718,Final,1
719,Initial,1
719,Final,1
720,Initial,1
720,Final,1
721,Initial,1
721,Final,1
722,Initial,1
722,Final,1
723,Initial,1
723,Final,1
724,Initial,1
724,Final,1
725,Initial,1
725,Final,1
729,Initial,1
729,Final,1
730,Initial,1
730,Final,1
731,Initial,1
731,Final,1
732,Initial,1
732,Final,1
733,Initial,1
733,Final,1
734,Initial,1
734,Final,1
740,Initial,1
740,Final,1
741,Initial,1
741,Final,1
742,Initial,1
742,Final,1
743,Initial,1
743,Final,1
744,Initial,1
744,Final,1
758,Initial,1
758,Final,1
